Header
11,0
9,1
9,2
5,3
6,4
0,5
3,6
13,7
0,8
0,9
11,0
12,1
10,2
5,3
6,4
7,5
3,6
13,7
9,8
0,9
11,0
12,1
1,2
5,3
12,4
7,5
3,6
12,7
9,8
0,9
11,0
0,9
7,5
7,5
3,6
7,5
11,0
0,9
9,8
0,9
9,8
6,4
12,1
13,7
13,7
5,3
7,5
12,1
11,0
11,0
9,2
12,2
13,7
9,8
12,2
11,0
12,1
9,2
3,6
5,3
5,3
13,7
5,3
5,3
6,4
3,6
3,6
3,6
6,4
9,9
12,1
7,5
11,0
0,9
7,5
12,2
9,8
12,2
11,0
11,0
12,1
13,7
3,6
5,3
1,2
12,1
13,7
2,4
3,6
5,3
12,1
5,3
0,9
9,1
13,7
9,6
9,8
6,4
5,3
9,1
6,4
11,0
7,5
7,3
3,6
0,9
3,6
12,1
13,7
7,5
6,4
6,4
13,7
9,2
9,8
9,2
9,2
7,5
13,7
0,9
9,5
6,4
9,8
9,8
6,4
5,9
11,0
9,8
0,9
9,8
11,0
12,1
1,2
5,3
6,4
7,5
3,6
13,7
9,8
0,9
11,0
12,1
1,2
5,3
6,4
7,5
3,6
13,7
9,8
0,9
11,0
12,1
9,2
5,3
6,4
7,5
3,6
13,7
9,8
0,9
11,0
0,9
7,5
7,5
3,6
7,5
11,0
0,9
9,8
0,9
9,8
6,4
12,1
13,7
13,7
5,3
7,5
12,1
11,0
11,0
1,2
1,2
13,7
9,8
1,2
11,0
12,1
1,2
3,6
5,3
5,3
13,7
5,3
5,3
6,4
3,6
3,6
3,6
9,4
0,9
12,1
7,5
11,0
0,9
7,5
9,2
9,8
9,2
11,0
11,0
12,1
13,7
3,6
5,3
1,2
12,1
13,7
5,3
12,1
5,3
0,9
12,1
13,7
3,6
9,8
6,4
5,3
12,1
6,4
11,0
7,5
13,3
3,6
0,9
3,6
12,1
13,7
7,5
6,4
6,4
13,7
1,2
9,8
1,2
9,2
7,5
7,5
12,4
9,8
9,8
6,4
0,9
11,0
9,8
0,9
9,8
11,0
9,1
1,2
5,3
6,4
0,5
3,6
4,7
0,8
0,9
11,0
12,1
1,2
5,3
6,4
7,5
3,6
13,7
9,8
13,9
11,0
9,1
1,2
5,3
6,4
7,5
3,6
4,7
9,8
0,9
11,0
0,9
7,5
0,5
3,6
0,5
11,0
0,9
9,8
0,9
0,8
6,4
9,1
13,7
13,7
5,3
7,5
9,1
11,0
11,0
1,2
1,2
13,7
0,8
1,2
11,0
12,1
1,2
3,6
5,3
5,3
4,7
5,3
5,3
6,4
3,6
3,6
3,6
6,4
13,9
9,1
2,5
11,0
13,9
7,5
1,2
0,8
1,2
11,0
11,0
9,1
13,7
3,6
5,3
1,2
12,1
13,7
6,4
3,6
5,3
9,1
5,3
13,9
9,1
13,7
3,6
9,8
6,4
5,3
9,1
6,4
11,0
0,5
5,3
3,6
13,9
3,6
9,1
13,7
7,5
6,4
6,4
13,7
1,2
0,8
1,2
1,2
0,5
13,7
12,9
7,5
6,4
0,8
0,8
6,4
12,9
11,0
9,8
13,9
5,3
11,0
12,1
1,2
5,3
6,4
7,5
3,6
4,7
9,8
0,9
11,0
12,1
10,2
5,3
6,4
7,5
3,6
4,7
9,8
0,9
11,0
12,1
1,2
0,3
6,4
7,5
3,6
4,7
0,8
0,9
11,0
0,9
7,5
7,5
3,6
0,5
11,0
0,9
0,8
0,9
0,8
6,4
12,1
4,7
4,7
5,3
7,5
12,1
11,0
11,0
10,2
1,2
4,7
0,8
1,2
11,0
10,1
1,2
3,6
5,3
0,3
4,7
0,3
0,3
6,4
3,6
3,6
3,6
6,4
0,9
12,1
0,5
11,0
0,9
7,5
1,2
9,8
1,2
11,0
11,0
12,1
4,7
3,6
5,3
1,2
12,1
13,7
12,4
3,6
5,3
12,1
5,3
0,9
12,1
7,7
3,6
0,8
6,4
5,3
12,1
6,4
11,0
7,5
5,3
3,6
0,9
9,6
12,1
4,7
7,5
12,4
6,4
4,7
1,2
0,8
1,2
9,2
7,5
13,7
0,9
7,5
12,4
9,8
9,8
6,4
0,9
11,0
0,8
0,9
0,8
11,0
10,1
10,2
0,3
6,4
0,5
3,6
13,7
9,8
0,9
11,0
10,1
9,2
0,3
13,4
0,5
3,6
13,7
9,8
0,9
11,0
10,1
10,2
0,3
6,4
0,5
3,6
13,7
9,8
0,9
11,0
9,9
7,5
0,5
3,6
0,5
11,0
0,9
9,8
0,9
9,8
6,4
10,1
13,7
13,7
0,3
0,5
10,1
11,0
11,0
2,2
10,2
13,7
3,8
10,2
11,0
10,1
10,2
3,6
0,3
0,3
13,7
0,3
0,3
6,4
3,6
3,6
3,6
6,4
0,9
10,1
7,5
11,0
0,9
0,5
10,2
9,8
1,2
11,0
11,0
10,1
13,7
3,6
10,3
10,2
10,1
13,7
6,4
3,6
0,3
10,1
0,3
0,9
10,1
13,7
3,6
9,8
6,4
0,3
9,1
6,4
11,0
0,5
0,3
3,6
0,9
3,6
10,1
13,7
7,5
6,4
6,4
13,7
10,2
9,8
1,2
10,2
7,5
13,7
0,9
0,5
6,4
12,8
9,8
6,4
0,9
11,0
